id,duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_ward_placed,red_ward_placed,ward_placed_diff,blue_ward_destroyed,red_ward_destroyed,ward_destroyed_diff,first_blood,blue_kills,red_kills,kill_diff,first_turret,blue_turrets,red_turrets,turret_diff,first_inhibitor,blue_inhibitors,red_inhibitors,inhibitor_diff,first_herald,blue_heralds,red_heralds,herald_diff,first_baron,blue_barons,red_barons,baron_diff,blue_air,red_air,air_diff,blue_hextech,red_hextech,hextech_diff,blue_fire,red_fire,fire_diff,blue_earth,red_earth,earth_diff,blue_water,red_water,water_diff,air,hextech,fire,earth,water,blue_win
5893335903,2697542,58893,52660,6233,70910,60470,10440,43,38,5,2,2,0,1,42,34,8,1,5,3,2,0,0,0,0,-1,0,1,-1,1,1,0,1,0,0,0,1,0,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,1
5893248296,2791396,51690,52975,-1285,59435,60408,-973,50,52,-2,8,18,-10,1,33,31,2,1,4,4,0,0,0,0,0,1,2,0,2,-1,0,1,-1,0,1,-1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
5902906980,1963765,56359,46793,9566,66905,58981,7924,63,56,7,12,12,0,1,27,16,11,1,8,2,6,1,2,0,2,-1,0,1,-1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,1
5902874154,2278928,55086,46735,8351,67060,55648,11412,52,45,7,16,13,3,1,24,27,-3,1,7,0,7,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,-1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1
5901703852,1914788,54776,44675,10101,69676,56658,13018,56,59,-3,47,9,38,-1,28,15,13,1,6,1,5,0,0,0,0,-1,0,2,-2,1,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
5901615051,1886831,54631,43546,11085,71263,55185,16078,36,28,8,1,2,-1,-1,27,15,12,-1,5,3,2,0,0,0,0,-1,0,1,-1,1,1,0,1,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5901571906,2392527,51378,55617,-4239,64239,67299,-3060,36,42,-6,5,7,-2,1,21,25,-4,1,3,6,-3,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,-3,0,0,0,0,0,0,0,0,0
5901380032,2667062,55002,51129,3873,66338,61703,4635,46,44,2,4,7,-3,1,30,28,2,1,3,4,-1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,1
5901180832,2239498,52521,49339,3182,62867,58865,4002,62,51,11,8,7,1,-1,30,13,17,1,5,3,2,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
5897732970,1925959,58389,46865,11524,72595,61574,11021,56,47,9,14,15,-1,1,27,12,15,1,7,1,6,0,0,0,0,1,1,0,1,0,0,0,0,0,1,-1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
5897627988,1973755,57345,52243,5102,67545,63749,3796,57,62,-5,20,12,8,1,33,17,16,1,5,3,2,0,0,0,0,-1,0,1,-1,-1,0,1,-1,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,1,1
5895200523,1878172,55909,50874,5035,66271,55478,10793,43,50,-7,7,3,4,-1,34,21,13,-1,3,4,-1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
5894491114,1802152,51191,57698,-6507,62040,70131,-8091,32,59,-27,4,10,-6,-1,19,24,-5,1,3,11,-8,-1,0,4,-4,1,1,0,1,-1,0,1,-1,0,0,0,0,1,-1,0,2,-2,0,0,0,0,1,-1,0,0,-1,0,0,0
5893174727,2108557,51548,52547,-999,59702,59118,584,45,44,1,11,5,6,-1,26,32,-6,1,4,7,-3,0,0,0,0,1,1,0,1,0,0,0,0,0,2,-2,0,0,0,0,1,-1,0,0,0,0,1,-1,-1,0,0,0,0,0
